"tam_yol","goreli_yol","dosya_adi","boyut_byte","boyut_okunabilir","son_degisim","uzanti","kategori","gerekli_mi"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.env.local.bak",".env.local.bak",".env.local.bak","580","580 B","2026-02-02T13:15:59",".bak","env_backup","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\24.03.2026_cursor_analiz.md","24.03.2026_cursor_analiz.md","24.03.2026_cursor_analiz.md","11640","11,37 KB","2026-03-24T10:36:51",".md","one_cikan_dosya","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\algorithm_integration_audit.md","algorithm_integration_audit.md","algorithm_integration_audit.md","7472","7,30 KB","2026-03-23T17:43:06",".md","one_cikan_dosya","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ALTERNATIVES.md","ALTERNATIVES.md","ALTERNATIVES.md","3957","3,86 KB","2025-11-22T02:43:02",".md","proje_disi_icerik","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\analyze_schedules.js","analyze_schedules.js","analyze_schedules.js","2083","2,03 KB","2026-03-12T15:15:07",".js","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\calculate_vehicles_with_vrp_fixed_v11.m","calculate_vehicles_with_vrp_fixed_v11.m","calculate_vehicles_with_vrp_fixed_v11.m","15940","15,57 KB","2025-07-11T15:45:11",".m","one_cikan_dosya","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\cleanup_schedules.js","cleanup_schedules.js","cleanup_schedules.js","2234","2,18 KB","2026-03-12T15:15:31",".js","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\DATABASE_SETUP_COMPLETE.md","DATABASE_SETUP_COMPLETE.md","DATABASE_SETUP_COMPLETE.md","5635","5,50 KB","2025-11-22T03:48:55",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\DRAFT_Special student transportation_V3.docx","DRAFT_Special student transportation_V3.docx","DRAFT_Special student transportation_V3.docx","299490","292,47 KB","2026-02-26T10:33:58",".docx","akademik_taslak","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\Fig1_Architecture.jpg","Fig1_Architecture.jpg","Fig1_Architecture.jpg","47867","46,75 KB","2026-02-26T12:32:34",".jpg","image_export","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\Fig3a_ConceptualRoute.jpg","Fig3a_ConceptualRoute.jpg","Fig3a_ConceptualRoute.jpg","19024","18,58 KB","2026-02-26T12:32:37",".jpg","image_export","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\Fig3c_StaticGeographicMap.jpg","Fig3c_StaticGeographicMap.jpg","Fig3c_StaticGeographicMap.jpg","112610","109,97 KB","2026-02-26T12:39:53",".jpg","image_export","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\Fig4a_RouteTimeComparison.jpg","Fig4a_RouteTimeComparison.jpg","Fig4a_RouteTimeComparison.jpg","128077","125,08 KB","2026-02-26T12:32:39",".jpg","image_export","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\Fig4b_ExecutionTimeComparison.jpg","Fig4b_ExecutionTimeComparison.jpg","Fig4b_ExecutionTimeComparison.jpg","137842","134,61 KB","2026-02-26T12:32:39",".jpg","image_export","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\FIREBASE_FIX_COMPLETE.md","FIREBASE_FIX_COMPLETE.md","FIREBASE_FIX_COMPLETE.md","2150","2,10 KB","2025-11-22T04:33:17",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\FIREBASE_SETUP.md","FIREBASE_SETUP.md","FIREBASE_SETUP.md","5346","5,22 KB","2025-11-21T04:55:38",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\FIXES_COMPLETE.md","FIXES_COMPLETE.md","FIXES_COMPLETE.md","3394","3,31 KB","2025-11-22T04:12:17",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\full_project.txt","full_project.txt","full_project.txt","469253","458,25 KB","2026-03-17T14:21:22",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\full_project_code.txt","full_project_code.txt","full_project_code.txt","638622","623,65 KB","2026-03-17T14:25:39",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\generate_chart.py","generate_chart.py","generate_chart.py","1461","1,43 KB","2026-02-26T11:08:19",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\generate_flow_chart.py","generate_flow_chart.py","generate_flow_chart.py","1458","1,42 KB","2026-02-26T12:33:41",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\generate_jpg_charts.py","generate_jpg_charts.py","generate_jpg_charts.py","5053","4,93 KB","2026-02-26T12:31:21",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\generate_static_map.py","generate_static_map.py","generate_static_map.py","1590","1,55 KB","2026-02-26T12:38:26",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\import_schedules.js","import_schedules.js","import_schedules.js","5574","5,44 KB","2026-03-12T13:44:31",".js","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\import_time_matrix.js","import_time_matrix.js","import_time_matrix.js","4121","4,02 KB","2026-03-05T12:52:34",".js","tek_kullanimli_script","False"
